solar.system_capacity_DC,wind.num_turbines,electrolyzer.n_clusters
100000,10,10
100000,10,15
100000,10,20
100000,10,25
100000,10,30
100000,10,40
100000,20,10
100000,20,15
100000,20,20
100000,20,25
100000,20,30
100000,20,40
100000,30,10
100000,30,15
100000,30,20
100000,30,25
100000,30,30
100000,30,40
200000,10,10
200000,10,15
200000,10,20
200000,10,25
200000,10,30
200000,10,40
200000,20,10
200000,20,15
200000,20,20
200000,20,25
200000,20,30
200000,20,40
200000,30,10
200000,30,15
200000,30,20
200000,30,25
200000,30,30
200000,30,40
300000,10,10
300000,10,15
300000,10,20
300000,10,25
300000,10,30
300000,10,40
300000,20,10
300000,20,15
300000,20,20
300000,20,25
300000,20,30
300000,20,40
300000,30,10
300000,30,15
300000,30,20
300000,30,25
300000,30,30
300000,30,40
400000,10,10
400000,10,15
400000,10,20
400000,10,25
400000,10,30
400000,10,40
400000,20,10
400000,20,15
400000,20,20
400000,20,25
400000,20,30
400000,20,40
400000,30,10
400000,30,15
400000,30,20
400000,30,25
400000,30,30
400000,30,40
